Created as New Dataset,Sample 079 By Administrator Date Wednesday, September 03 2025
cm-1,A
4000.00,0.0009
3999.00,0.0009
3998.00,0.0009
3997.00,0.0008
3996.00,0.0008
3995.00,0.0008
3994.00,0.0008
3993.00,0.0008
3992.00,0.0008
3991.00,0.0008
3990.00,0.0008
3989.00,0.0008
3988.00,0.0009
3987.00,0.0009
3986.00,0.0009
3985.00,0.0009
3984.00,0.0008
3983.00,0.0008
3982.00,0.0007
3981.00,0.0007
3980.00,0.0007
3979.00,0.0008
3978.00,0.0008
3977.00,0.0008
3976.00,0.0008
3975.00,0.0008
3974.00,0.0008
3973.00,0.0008
3972.00,0.0008
3971.00,0.0008
3970.00,0.0008
3969.00,0.0008
3968.00,0.0008
3967.00,0.0007
3966.00,0.0007
3965.00,0.0007
3964.00,0.0007
3963.00,0.0007
3962.00,0.0007
3961.00,0.0007
3960.00,0.0007
3959.00,0.0007
3958.00,0.0007
3957.00,0.0007
3956.00,0.0007
3955.00,0.0007
3954.00,0.0006
3953.00,0.0006
3952.00,0.0006
3951.00,0.0006
3950.00,0.0007
3949.00,0.0007
3948.00,0.0007
3947.00,0.0007
3946.00,0.0007
3945.00,0.0007
3944.00,0.0008
3943.00,0.0008
3942.00,0.0008
3941.00,0.0008
3940.00,0.0008
3939.00,0.0008
3938.00,0.0008
3937.00,0.0008
3936.00,0.0007
3935.00,0.0007
3934.00,0.0007
3933.00,0.0007
3932.00,0.0007
3931.00,0.0007
3930.00,0.0007
3929.00,0.0007
3928.00,0.0007
3927.00,0.0007
3926.00,0.0008
3925.00,0.0008
3924.00,0.0007
3923.00,0.0007
3922.00,0.0007
3921.00,0.0007
3920.00,0.0007
3919.00,0.0008
3918.00,0.0008
3917.00,0.0008
3916.00,0.0008
3915.00,0.0008
3914.00,0.0008
3913.00,0.0007
3912.00,0.0007
3911.00,0.0007
3910.00,0.0007
3909.00,0.0007
3908.00,0.0008
3907.00,0.0008
3906.00,0.0008
3905.00,0.0008
3904.00,0.0008
3903.00,0.0008
3902.00,0.0007
3901.00,0.0007
3900.00,0.0007
3899.00,0.0007
3898.00,0.0007
3897.00,0.0007
3896.00,0.0007
3895.00,0.0007
3894.00,0.0007
3893.00,0.0007
3892.00,0.0007
3891.00,0.0007
3890.00,0.0007
3889.00,0.0007
3888.00,0.0007
3887.00,0.0006
3886.00,0.0006
3885.00,0.0007
3884.00,0.0007
3883.00,0.0007
3882.00,0.0007
3881.00,0.0007
3880.00,0.0007
3879.00,0.0007
3878.00,0.0007
3877.00,0.0006
3876.00,0.0006
3875.00,0.0006
3874.00,0.0006
