Created as New Dataset,Sample 147 By Administrator Date Tuesday, September 09 2025
cm-1,A
4000.00,0.0009
3999.00,0.0009
3998.00,0.0010
3997.00,0.0010
3996.00,0.0010
3995.00,0.0010
3994.00,0.0010
3993.00,0.0010
3992.00,0.0010
3991.00,0.0010
3990.00,0.0010
3989.00,0.0010
3988.00,0.0009
3987.00,0.0009
3986.00,0.0009
3985.00,0.0009
3984.00,0.0009
3983.00,0.0009
3982.00,0.0009
3981.00,0.0009
3980.00,0.0009
3979.00,0.0009
3978.00,0.0009
3977.00,0.0009
3976.00,0.0009
3975.00,0.0009
3974.00,0.0009
3973.00,0.0008
3972.00,0.0008
3971.00,0.0008
3970.00,0.0008
3969.00,0.0008
3968.00,0.0008
3967.00,0.0008
3966.00,0.0008
3965.00,0.0009
3964.00,0.0009
3963.00,0.0009
3962.00,0.0008
3961.00,0.0008
3960.00,0.0008
3959.00,0.0008
3958.00,0.0009
3957.00,0.0008
3956.00,0.0008
3955.00,0.0008
3954.00,0.0007
3953.00,0.0007
3952.00,0.0008
3951.00,0.0008
3950.00,0.0009
3949.00,0.0009
3948.00,0.0009
3947.00,0.0009
3946.00,0.0009
3945.00,0.0009
3944.00,0.0008
3943.00,0.0008
3942.00,0.0008
3941.00,0.0008
3940.00,0.0008
3939.00,0.0008
3938.00,0.0008
3937.00,0.0008
3936.00,0.0008
3935.00,0.0008
3934.00,0.0009
3933.00,0.0009
3932.00,0.0009
3931.00,0.0009
3930.00,0.0009
3929.00,0.0008
3928.00,0.0008
3927.00,0.0007
3926.00,0.0007
3925.00,0.0007
3924.00,0.0007
3923.00,0.0008
3922.00,0.0008
3921.00,0.0008
3920.00,0.0009
3919.00,0.0009
3918.00,0.0008
3917.00,0.0008
3916.00,0.0008
3915.00,0.0008
3914.00,0.0008
3913.00,0.0008
3912.00,0.0008
3911.00,0.0008
3910.00,0.0008
3909.00,0.0008
3908.00,0.0008
3907.00,0.0008
3906.00,0.0007
3905.00,0.0007
3904.00,0.0007
3903.00,0.0007
3902.00,0.0007
3901.00,0.0007
3900.00,0.0007
3899.00,0.0008
3898.00,0.0008
3897.00,0.0008
3896.00,0.0008
3895.00,0.0008
3894.00,0.0009
3893.00,0.0009
3892.00,0.0009
3891.00,0.0008
3890.00,0.0008
3889.00,0.0008
3888.00,0.0008
3887.00,0.0008
3886.00,0.0008
3885.00,0.0008
3884.00,0.0008
3883.00,0.0008
3882.00,0.0008
3881.00,0.0008
3880.00,0.0008
3879.00,0.0008
3878.00,0.0008
3877.00,0.0007
3876.00,0.0007
3875.00,0.0007
3874.00,0.0007
