Created as New Dataset,Sample 118 By Administrator Date Friday, September 05 2025
cm-1,A
4000.00,0.0016
3999.00,0.0016
3998.00,0.0016
3997.00,0.0016
3996.00,0.0016
3995.00,0.0016
3994.00,0.0017
3993.00,0.0017
3992.00,0.0017
3991.00,0.0017
3990.00,0.0018
3989.00,0.0018
3988.00,0.0017
3987.00,0.0017
3986.00,0.0017
3985.00,0.0017
3984.00,0.0017
3983.00,0.0016
3982.00,0.0016
3981.00,0.0015
3980.00,0.0015
3979.00,0.0015
3978.00,0.0015
3977.00,0.0015
3976.00,0.0015
3975.00,0.0015
3974.00,0.0015
3973.00,0.0015
3972.00,0.0015
3971.00,0.0015
3970.00,0.0015
3969.00,0.0015
3968.00,0.0015
3967.00,0.0015
3966.00,0.0015
3965.00,0.0015
3964.00,0.0015
3963.00,0.0015
3962.00,0.0015
3961.00,0.0014
3960.00,0.0014
3959.00,0.0014
3958.00,0.0014
3957.00,0.0014
3956.00,0.0015
3955.00,0.0015
3954.00,0.0015
3953.00,0.0015
3952.00,0.0015
3951.00,0.0015
3950.00,0.0015
3949.00,0.0015
3948.00,0.0014
3947.00,0.0014
3946.00,0.0014
3945.00,0.0014
3944.00,0.0015
3943.00,0.0015
3942.00,0.0015
3941.00,0.0015
3940.00,0.0015
3939.00,0.0015
3938.00,0.0015
3937.00,0.0015
3936.00,0.0015
3935.00,0.0015
3934.00,0.0015
3933.00,0.0015
3932.00,0.0015
3931.00,0.0015
3930.00,0.0015
3929.00,0.0015
3928.00,0.0015
3927.00,0.0015
3926.00,0.0016
3925.00,0.0016
3924.00,0.0016
3923.00,0.0016
3922.00,0.0016
3921.00,0.0016
3920.00,0.0015
3919.00,0.0015
3918.00,0.0015
3917.00,0.0015
3916.00,0.0015
3915.00,0.0016
3914.00,0.0016
3913.00,0.0016
3912.00,0.0015
3911.00,0.0015
3910.00,0.0015
3909.00,0.0014
3908.00,0.0014
3907.00,0.0014
3906.00,0.0014
3905.00,0.0015
3904.00,0.0015
3903.00,0.0015
3902.00,0.0015
3901.00,0.0015
3900.00,0.0014
3899.00,0.0014
3898.00,0.0015
3897.00,0.0015
3896.00,0.0015
3895.00,0.0016
3894.00,0.0015
3893.00,0.0015
3892.00,0.0015
3891.00,0.0015
3890.00,0.0015
3889.00,0.0015
3888.00,0.0014
3887.00,0.0014
3886.00,0.0014
3885.00,0.0014
3884.00,0.0014
3883.00,0.0014
3882.00,0.0014
3881.00,0.0015
3880.00,0.0015
3879.00,0.0015
3878.00,0.0015
3877.00,0.0015
3876.00,0.0015
3875.00,0.0014
3874.00,0.0014
3873.00,0.0014
3872.00,0.0014
3871.00,0.0014
3870.00,0.0014
3869.00,0.0014
3868.00,0.0013
3867.00,0.0013
3866.00,0.0013
3865.00,0.0014
3864.00,0.0014
3863.00,0.0015
3862.00,0.0015
3861.00,0.0015
3860.00,0.0014
3859.00,0.0015
3858.00,0.0015
3857.00,0.0015
3856.00,0.0015
3855.00,0.0014
3854.00,0.0014
3853.00,0.0014
3852.00,0.0014
3851.00,0.0014
3850.00,0.0014
3849.00,0.0014
3848.00,0.0014
3847.00,0.0014
3846.00,0.0014
3845.00,0.0014
3844.00,0.0014
3843.00,0.0014
3842.00,0.0014
3841.00,0.0014
3840.00,0.0014
3839.00,0.0014
3838.00,0.0014
3837.00,0.0014
3836.00,0.0014
3835.00,0.0015
3834.00,0.0015
3833.00,0.0015
3832.00,0.0015
3831.00,0.0015
3830.00,0.0015
3829.00,0.0015
3828.00,0.0015
3827.00,0.0014
3826.00,0.0014
3825.00,0.0013
3824.00,0.0013
3823.00,0.0013
3822.00,0.0013
3821.00,0.0014
3820.00,0.0014
3819.00,0.0014
3818.00,0.0014
3817.00,0.0014
3816.00,0.0014
3815.00,0.0014
3814.00,0.0014
3813.00,0.0014
3812.00,0.0013
3811.00,0.0013
3810.00,0.0013
3809.00,0.0013
3808.00,0.0013
3807.00,0.0014
3806.00,0.0014
3805.00,0.0014
3804.00,0.0014
3803.00,0.0014
3802.00,0.0014
3801.00,0.0014
3800.00,0.0014
3799.00,0.0014
3798.00,0.0014
3797.00,0.0014
3796.00,0.0015
3795.00,0.0015
3794.00,0.0015
3793.00,0.0014
3792.00,0.0014
3791.00,0.0014
3790.00,0.0014
3789.00,0.0015
3788.00,0.0015
3787.00,0.0015
3786.00,0.0015
3785.00,0.0015
3784.00,0.0015
3783.00,0.0015
3782.00,0.0015
3781.00,0.0015
3780.00,0.0015
3779.00,0.0015
3778.00,0.0015
3777.00,0.0015
3776.00,0.0015
3775.00,0.0015
3774.00,0.0015
3773.00,0.0015
3772.00,0.0015
3771.00,0.0014
3770.00,0.0014
3769.00,0.0014
3768.00,0.0014
3767.00,0.0014
3766.00,0.0014
3765.00,0.0014
3764.00,0.0014
3763.00,0.0014
3762.00,0.0014
3761.00,0.0015
3760.00,0.0015
3759.00,0.0015
3758.00,0.0015
3757.00,0.0015
3756.00,0.0015
3755.00,0.0014
3754.00,0.0014
3753.00,0.0014
3752.00,0.0013
3751.00,0.0013
3750.00,0.0012
3749.00,0.0012
3748.00,0.0013
3747.00,0.0013
3746.00,0.0013
3745.00,0.0013
3744.00,0.0013
3743.00,0.0013
3742.00,0.0014
3741.00,0.0013
3740.00,0.0013
3739.00,0.0013
3738.00,0.0012
3737.00,0.0012
3736.00,0.0012
3735.00,0.0013
3734.00,0.0013
3733.00,0.0014
3732.00,0.0014
3731.00,0.0014
3730.00,0.0013
3729.00,0.0013
3728.00,0.0013
3727.00,0.0013
3726.00,0.0013
3725.00,0.0013
3724.00,0.0013
3723.00,0.0013
3722.00,0.0013
3721.00,0.0013
3720.00,0.0013
3719.00,0.0013
3718.00,0.0012
3717.00,0.0012
3716.00,0.0013
3715.00,0.0013
3714.00,0.0012
3713.00,0.0012
3712.00,0.0012
3711.00,0.0012
3710.00,0.0012
3709.00,0.0012
3708.00,0.0012
3707.00,0.0012
3706.00,0.0013
3705.00,0.0013
3704.00,0.0014
3703.00,0.0014
3702.00,0.0013
3701.00,0.0013
3700.00,0.0012
3699.00,0.0012
3698.00,0.0012
3697.00,0.0012
3696.00,0.0012
3695.00,0.0012
3694.00,0.0012
3693.00,0.0012
3692.00,0.0012
3691.00,0.0012
3690.00,0.0012
3689.00,0.0012
3688.00,0.0012
3687.00,0.0012
3686.00,0.0012
3685.00,0.0012
3684.00,0.0012
3683.00,0.0012
3682.00,0.0013
3681.00,0.0013
3680.00,0.0013
3679.00,0.0014
3678.00,0.0013
3677.00,0.0013
3676.00,0.0013
3675.00,0.0013
3674.00,0.0013
3673.00,0.0012
3672.00,0.0012
3671.00,0.0012
3670.00,0.0012
3669.00,0.0012
3668.00,0.0012
3667.00,0.0012
3666.00,0.0012
3665.00,0.0012
3664.00,0.0012
3663.00,0.0012
3662.00,0.0012
3661.00,0.0012
3660.00,0.0011
3659.00,0.0011
3658.00,0.0011
3657.00,0.0011
3656.00,0.0011
3655.00,0.0011
3654.00,0.0011
3653.00,0.0011
3652.00,0.0011
3651.00,0.0010
3650.00,0.0011
3649.00,0.0012
3648.00,0.0012
3647.00,0.0013
3646.00,0.0013
3645.00,0.0013
3644.00,0.0013
3643.00,0.0013
3642.00,0.0013
3641.00,0.0014
3640.00,0.0014
3639.00,0.0014
3638.00,0.0014
3637.00,0.0013
3636.00,0.0013
3635.00,0.0013
3634.00,0.0012
3633.00,0.0012
3632.00,0.0012
3631.00,0.0011
3630.00,0.0011
3629.00,0.0011
3628.00,0.0011
3627.00,0.0011
3626.00,0.0012
3625.00,0.0012
3624.00,0.0013
3623.00,0.0013
3622.00,0.0013
3621.00,0.0014
3620.00,0.0013
3619.00,0.0013
3618.00,0.0012
3617.00,0.0012
3616.00,0.0011
3615.00,0.0011
3614.00,0.0012
3613.00,0.0012
3612.00,0.0012
3611.00,0.0013
3610.00,0.0013
3609.00,0.0013
3608.00,0.0014
3607.00,0.0014
3606.00,0.0014
3605.00,0.0014
3604.00,0.0014
3603.00,0.0014
3602.00,0.0013
3601.00,0.0013
3600.00,0.0013
3599.00,0.0013
3598.00,0.0013
3597.00,0.0014
3596.00,0.0013
3595.00,0.0013
3594.00,0.0013
3593.00,0.0013
3592.00,0.0013
3591.00,0.0014
3590.00,0.0015
3589.00,0.0015
3588.00,0.0016
3587.00,0.0016
3586.00,0.0015
3585.00,0.0015
3584.00,0.0014
3583.00,0.0014
3582.00,0.0014
3581.00,0.0014
3580.00,0.0014
3579.00,0.0014
3578.00,0.0014
3577.00,0.0014
3576.00,0.0015
3575.00,0.0015
3574.00,0.0016
3573.00,0.0016
3572.00,0.0016
3571.00,0.0016
3570.00,0.0016
3569.00,0.0016
3568.00,0.0016
3567.00,0.0016
3566.00,0.0016
3565.00,0.0016
3564.00,0.0017
3563.00,0.0017
3562.00,0.0017
3561.00,0.0017
3560.00,0.0017
3559.00,0.0017
3558.00,0.0018
3557.00,0.0018
3556.00,0.0018
3555.00,0.0018
3554.00,0.0019
3553.00,0.0019
3552.00,0.0019
3551.00,0.0019
3550.00,0.0019
3549.00,0.0019
3548.00,0.0019
3547.00,0.0019
3546.00,0.0018
3545.00,0.0019
3544.00,0.0019
3543.00,0.0020
3542.00,0.0020
3541.00,0.0020
3540.00,0.0020
3539.00,0.0020
3538.00,0.0020
3537.00,0.0020
3536.00,0.0020
3535.00,0.0020
3534.00,0.0021
3533.00,0.0021
3532.00,0.0021
3531.00,0.0021
3530.00,0.0021
3529.00,0.0021
3528.00,0.0020
3527.00,0.0020
3526.00,0.0021
3525.00,0.0021
3524.00,0.0021
3523.00,0.0022
3522.00,0.0022
3521.00,0.0022
3520.00,0.0022
3519.00,0.0023
3518.00,0.0023
3517.00,0.0023
3516.00,0.0023
3515.00,0.0023
3514.00,0.0023
3513.00,0.0023
3512.00,0.0023
3511.00,0.0023
3510.00,0.0023
3509.00,0.0023
3508.00,0.0023
3507.00,0.0024
3506.00,0.0024
3505.00,0.0024
3504.00,0.0025
3503.00,0.0025
3502.00,0.0025
3501.00,0.0025
3500.00,0.0025
3499.00,0.0025
3498.00,0.0025
3497.00,0.0025
3496.00,0.0025
3495.00,0.0025
3494.00,0.0025
3493.00,0.0025
3492.00,0.0025
3491.00,0.0025
3490.00,0.0025
3489.00,0.0025
3488.00,0.0025
3487.00,0.0025
3486.00,0.0026
3485.00,0.0026
3484.00,0.0026
3483.00,0.0026
3482.00,0.0026
3481.00,0.0026
3480.00,0.0026
3479.00,0.0026
3478.00,0.0026
3477.00,0.0026
3476.00,0.0026
3475.00,0.0026
3474.00,0.0027
3473.00,0.0027
3472.00,0.0028
3471.00,0.0028
3470.00,0.0028
3469.00,0.0028
3468.00,0.0028
3467.00,0.0028
3466.00,0.0028
3465.00,0.0028
3464.00,0.0028
3463.00,0.0028
3462.00,0.0028
3461.00,0.0029
3460.00,0.0029
3459.00,0.0029
3458.00,0.0029
3457.00,0.0029
3456.00,0.0029
3455.00,0.0029
3454.00,0.0029
3453.00,0.0029
3452.00,0.0029
3451.00,0.0029
3450.00,0.0029
3449.00,0.0029
3448.00,0.0030
3447.00,0.0030
3446.00,0.0030
3445.00,0.0030
3444.00,0.0030
3443.00,0.0031
3442.00,0.0031
3441.00,0.0031
3440.00,0.0031
3439.00,0.0031
3438.00,0.0031
3437.00,0.0031
3436.00,0.0032
3435.00,0.0032
3434.00,0.0032
3433.00,0.0032
3432.00,0.0032
3431.00,0.0032
3430.00,0.0032
3429.00,0.0032
3428.00,0.0032
3427.00,0.0032
3426.00,0.0032
3425.00,0.0032
3424.00,0.0032
3423.00,0.0032
3422.00,0.0032
3421.00,0.0033
3420.00,0.0033
3419.00,0.0034
3418.00,0.0034
3417.00,0.0034
3416.00,0.0034
3415.00,0.0034
3414.00,0.0034
3413.00,0.0034
3412.00,0.0034
3411.00,0.0034
3410.00,0.0033
3409.00,0.0033
3408.00,0.0034
3407.00,0.0034
3406.00,0.0033
3405.00,0.0033
3404.00,0.0033
3403.00,0.0033
3402.00,0.0033
3401.00,0.0033
3400.00,0.0034
3399.00,0.0034
3398.00,0.0034
3397.00,0.0035
3396.00,0.0035
3395.00,0.0035
3394.00,0.0035
3393.00,0.0035
3392.00,0.0035
3391.00,0.0035
3390.00,0.0035
3389.00,0.0035
3388.00,0.0035
3387.00,0.0035
3386.00,0.0035
3385.00,0.0035
3384.00,0.0035
3383.00,0.0035
3382.00,0.0035
3381.00,0.0035
3380.00,0.0035
3379.00,0.0036
3378.00,0.0036
3377.00,0.0036
3376.00,0.0035
3375.00,0.0035
3374.00,0.0035
3373.00,0.0035
3372.00,0.0035
3371.00,0.0035
3370.00,0.0036
3369.00,0.0036
3368.00,0.0036
3367.00,0.0036
3366.00,0.0036
3365.00,0.0036
3364.00,0.0036
3363.00,0.0036
3362.00,0.0036
3361.00,0.0035
3360.00,0.0035
3359.00,0.0035
3358.00,0.0035
3357.00,0.0036
3356.00,0.0036
3355.00,0.0036
3354.00,0.0036
3353.00,0.0036
3352.00,0.0036
3351.00,0.0036
3350.00,0.0036
3349.00,0.0036
3348.00,0.0036
3347.00,0.0036
3346.00,0.0036
3345.00,0.0036
3344.00,0.0036
3343.00,0.0036
3342.00,0.0036
3341.00,0.0036
3340.00,0.0035
3339.00,0.0035
3338.00,0.0036
3337.00,0.0036
3336.00,0.0036
3335.00,0.0036
3334.00,0.0036
3333.00,0.0035
3332.00,0.0035
3331.00,0.0034
3330.00,0.0034
3329.00,0.0035
3328.00,0.0035
3327.00,0.0035
3326.00,0.0034
3325.00,0.0034
3324.00,0.0034
3323.00,0.0034
3322.00,0.0034
3321.00,0.0034
3320.00,0.0034
3319.00,0.0034
3318.00,0.0034
3317.00,0.0034
3316.00,0.0034
3315.00,0.0034
3314.00,0.0033
3313.00,0.0033
3312.00,0.0033
3311.00,0.0033
3310.00,0.0034
3309.00,0.0034
3308.00,0.0034
3307.00,0.0034
3306.00,0.0034
3305.00,0.0034
3304.00,0.0033
3303.00,0.0033
3302.00,0.0033
3301.00,0.0034
3300.00,0.0034
3299.00,0.0034
3298.00,0.0034
3297.00,0.0034
3296.00,0.0034
3295.00,0.0033
3294.00,0.0033
3293.00,0.0033
3292.00,0.0033
3291.00,0.0033
3290.00,0.0033
3289.00,0.0033
3288.00,0.0033
3287.00,0.0033
3286.00,0.0033
3285.00,0.0033
3284.00,0.0033
3283.00,0.0033
3282.00,0.0033
3281.00,0.0033
3280.00,0.0034
3279.00,0.0034
3278.00,0.0033
3277.00,0.0033
3276.00,0.0032
3275.00,0.0032
3274.00,0.0032
3273.00,0.0033
3272.00,0.0033
3271.00,0.0033
3270.00,0.0033
3269.00,0.0033
3268.00,0.0033
3267.00,0.0033
3266.00,0.0033
