Created as New Dataset,Sample 007 By Administrator Date Friday, September 05 2025
cm-1,A
4000.00,0.0015
3999.00,0.0015
3998.00,0.0015
3997.00,0.0014
3996.00,0.0014
3995.00,0.0014
3994.00,0.0014
3993.00,0.0015
3992.00,0.0015
3991.00,0.0015
3990.00,0.0015
3989.00,0.0015
3988.00,0.0015
3987.00,0.0014
3986.00,0.0014
3985.00,0.0014
3984.00,0.0014
3983.00,0.0014
3982.00,0.0014
3981.00,0.0014
3980.00,0.0013
3979.00,0.0013
3978.00,0.0013
3977.00,0.0013
3976.00,0.0013
3975.00,0.0013
3974.00,0.0013
3973.00,0.0013
3972.00,0.0013
3971.00,0.0013
3970.00,0.0013
3969.00,0.0013
3968.00,0.0013
3967.00,0.0013
3966.00,0.0013
3965.00,0.0013
3964.00,0.0013
3963.00,0.0013
3962.00,0.0013
3961.00,0.0013
3960.00,0.0013
3959.00,0.0013
3958.00,0.0012
3957.00,0.0013
3956.00,0.0013
3955.00,0.0013
3954.00,0.0013
3953.00,0.0013
3952.00,0.0013
3951.00,0.0012
3950.00,0.0012
3949.00,0.0012
3948.00,0.0012
3947.00,0.0013
3946.00,0.0013
3945.00,0.0013
3944.00,0.0013
3943.00,0.0013
3942.00,0.0013
3941.00,0.0013
3940.00,0.0013
3939.00,0.0013
3938.00,0.0013
3937.00,0.0013
3936.00,0.0013
3935.00,0.0013
3934.00,0.0014
3933.00,0.0014
3932.00,0.0014
3931.00,0.0014
3930.00,0.0014
3929.00,0.0014
3928.00,0.0014
3927.00,0.0013
3926.00,0.0013
3925.00,0.0013
3924.00,0.0013
3923.00,0.0013
3922.00,0.0014
3921.00,0.0014
3920.00,0.0014
3919.00,0.0014
3918.00,0.0014
3917.00,0.0013
3916.00,0.0014
3915.00,0.0014
3914.00,0.0014
3913.00,0.0014
3912.00,0.0015
3911.00,0.0015
3910.00,0.0014
3909.00,0.0014
3908.00,0.0014
3907.00,0.0013
3906.00,0.0013
3905.00,0.0013
3904.00,0.0013
3903.00,0.0013
3902.00,0.0014
3901.00,0.0014
3900.00,0.0014
3899.00,0.0015
3898.00,0.0015
3897.00,0.0016
3896.00,0.0016
3895.00,0.0015
3894.00,0.0015
3893.00,0.0015
3892.00,0.0014
3891.00,0.0014
3890.00,0.0014
3889.00,0.0014
3888.00,0.0015
3887.00,0.0015
3886.00,0.0015
3885.00,0.0014
3884.00,0.0014
3883.00,0.0014
3882.00,0.0014
3881.00,0.0014
3880.00,0.0014
3879.00,0.0014
3878.00,0.0014
3877.00,0.0014
3876.00,0.0014
3875.00,0.0013
3874.00,0.0013
3873.00,0.0013
3872.00,0.0013
3871.00,0.0013
3870.00,0.0014
3869.00,0.0015
3868.00,0.0015
3867.00,0.0015
3866.00,0.0016
3865.00,0.0015
3864.00,0.0015
3863.00,0.0015
3862.00,0.0014
3861.00,0.0014
3860.00,0.0014
3859.00,0.0014
3858.00,0.0013
3857.00,0.0013
3856.00,0.0013
3855.00,0.0014
3854.00,0.0015
3853.00,0.0015
3852.00,0.0015
3851.00,0.0015
3850.00,0.0015
3849.00,0.0015
3848.00,0.0015
3847.00,0.0015
3846.00,0.0014
3845.00,0.0014
3844.00,0.0014
3843.00,0.0014
3842.00,0.0014
3841.00,0.0014
3840.00,0.0014
3839.00,0.0014
3838.00,0.0014
3837.00,0.0014
3836.00,0.0014
3835.00,0.0015
3834.00,0.0015
3833.00,0.0015
3832.00,0.0015
3831.00,0.0015
3830.00,0.0016
3829.00,0.0016
3828.00,0.0016
3827.00,0.0016
3826.00,0.0015
3825.00,0.0015
3824.00,0.0015
3823.00,0.0016
3822.00,0.0015
3821.00,0.0015
3820.00,0.0014
3819.00,0.0014
3818.00,0.0013
3817.00,0.0014
3816.00,0.0014
3815.00,0.0015
3814.00,0.0015
3813.00,0.0015
3812.00,0.0015
3811.00,0.0015
3810.00,0.0015
3809.00,0.0016
3808.00,0.0016
3807.00,0.0015
3806.00,0.0015
3805.00,0.0015
3804.00,0.0015
3803.00,0.0015
3802.00,0.0015
3801.00,0.0014
3800.00,0.0014
3799.00,0.0014
3798.00,0.0014
3797.00,0.0014
3796.00,0.0014
3795.00,0.0014
3794.00,0.0014
3793.00,0.0014
3792.00,0.0014
3791.00,0.0014
3790.00,0.0014
3789.00,0.0014
3788.00,0.0014
3787.00,0.0014
3786.00,0.0013
3785.00,0.0013
3784.00,0.0013
3783.00,0.0013
3782.00,0.0013
3781.00,0.0013
3780.00,0.0013
3779.00,0.0012
3778.00,0.0013
3777.00,0.0013
3776.00,0.0013
3775.00,0.0013
3774.00,0.0013
3773.00,0.0013
3772.00,0.0013
3771.00,0.0013
3770.00,0.0013
3769.00,0.0013
3768.00,0.0013
3767.00,0.0013
3766.00,0.0013
3765.00,0.0013
3764.00,0.0014
3763.00,0.0014
3762.00,0.0014
3761.00,0.0014
3760.00,0.0014
3759.00,0.0013
3758.00,0.0013
3757.00,0.0012
3756.00,0.0011
3755.00,0.0011
3754.00,0.0010
3753.00,0.0010
3752.00,0.0010
3751.00,0.0010
3750.00,0.0010
3749.00,0.0011
3748.00,0.0011
3747.00,0.0011
3746.00,0.0012
3745.00,0.0012
3744.00,0.0011
3743.00,0.0011
3742.00,0.0011
3741.00,0.0011
3740.00,0.0011
3739.00,0.0012
3738.00,0.0012
3737.00,0.0012
3736.00,0.0012
3735.00,0.0012
3734.00,0.0012
3733.00,0.0012
3732.00,0.0012
3731.00,0.0012
3730.00,0.0012
3729.00,0.0012
3728.00,0.0012
3727.00,0.0012
3726.00,0.0013
3725.00,0.0013
3724.00,0.0013
3723.00,0.0014
3722.00,0.0014
3721.00,0.0014
3720.00,0.0013
3719.00,0.0013
3718.00,0.0013
3717.00,0.0013
3716.00,0.0013
3715.00,0.0013
3714.00,0.0013
3713.00,0.0013
3712.00,0.0013
3711.00,0.0012
3710.00,0.0012
3709.00,0.0012
3708.00,0.0012
3707.00,0.0012
3706.00,0.0013
3705.00,0.0014
3704.00,0.0015
3703.00,0.0015
3702.00,0.0015
3701.00,0.0015
3700.00,0.0016
3699.00,0.0016
3698.00,0.0016
3697.00,0.0016
3696.00,0.0017
3695.00,0.0017
3694.00,0.0018
3693.00,0.0019
3692.00,0.0020
3691.00,0.0022
3690.00,0.0024
3689.00,0.0026
3688.00,0.0028
3687.00,0.0031
3686.00,0.0034
3685.00,0.0038
3684.00,0.0042
3683.00,0.0047
3682.00,0.0051
3681.00,0.0056
3680.00,0.0060
3679.00,0.0064
3678.00,0.0069
3677.00,0.0074
3676.00,0.0081
3675.00,0.0086
3674.00,0.0090
3673.00,0.0092
3672.00,0.0094
3671.00,0.0096
3670.00,0.0098
3669.00,0.0100
3668.00,0.0101
3667.00,0.0103
3666.00,0.0105
3665.00,0.0107
3664.00,0.0109
3663.00,0.0112
3662.00,0.0113
3661.00,0.0114
3660.00,0.0115
3659.00,0.0115
3658.00,0.0115
3657.00,0.0114
3656.00,0.0113
3655.00,0.0112
3654.00,0.0111
3653.00,0.0110
3652.00,0.0110
3651.00,0.0109
