Created as New Dataset,Sample 090 By Administrator Date Friday, September 05 2025
cm-1,A
4000.00,0.0015
3999.00,0.0015
3998.00,0.0015
3997.00,0.0015
3996.00,0.0016
3995.00,0.0016
3994.00,0.0016
3993.00,0.0016
3992.00,0.0016
3991.00,0.0016
3990.00,0.0016
3989.00,0.0016
3988.00,0.0016
3987.00,0.0016
3986.00,0.0015
3985.00,0.0015
3984.00,0.0015
3983.00,0.0015
3982.00,0.0015
3981.00,0.0015
3980.00,0.0015
3979.00,0.0015
3978.00,0.0015
3977.00,0.0015
3976.00,0.0015
3975.00,0.0015
3974.00,0.0015
3973.00,0.0015
3972.00,0.0015
3971.00,0.0015
3970.00,0.0015
3969.00,0.0015
3968.00,0.0015
3967.00,0.0015
3966.00,0.0015
3965.00,0.0015
3964.00,0.0015
3963.00,0.0015
3962.00,0.0016
3961.00,0.0016
3960.00,0.0015
3959.00,0.0015
3958.00,0.0015
3957.00,0.0015
3956.00,0.0016
3955.00,0.0016
3954.00,0.0016
3953.00,0.0016
3952.00,0.0016
3951.00,0.0016
3950.00,0.0015
3949.00,0.0015
3948.00,0.0015
3947.00,0.0015
3946.00,0.0015
3945.00,0.0015
3944.00,0.0015
3943.00,0.0015
3942.00,0.0015
3941.00,0.0015
3940.00,0.0015
3939.00,0.0015
3938.00,0.0014
3937.00,0.0014
3936.00,0.0014
3935.00,0.0014
3934.00,0.0014
3933.00,0.0014
3932.00,0.0014
3931.00,0.0014
3930.00,0.0014
3929.00,0.0014
3928.00,0.0014
3927.00,0.0014
3926.00,0.0014
3925.00,0.0014
3924.00,0.0015
3923.00,0.0015
3922.00,0.0014
3921.00,0.0014
3920.00,0.0014
3919.00,0.0014
3918.00,0.0014
3917.00,0.0015
3916.00,0.0015
3915.00,0.0015
3914.00,0.0015
3913.00,0.0015
3912.00,0.0015
3911.00,0.0015
3910.00,0.0014
3909.00,0.0014
3908.00,0.0014
3907.00,0.0014
3906.00,0.0014
3905.00,0.0014
3904.00,0.0014
3903.00,0.0014
3902.00,0.0014
3901.00,0.0014
3900.00,0.0014
3899.00,0.0014
3898.00,0.0014
3897.00,0.0015
3896.00,0.0015
3895.00,0.0015
3894.00,0.0014
3893.00,0.0014
3892.00,0.0014
3891.00,0.0014
3890.00,0.0014
3889.00,0.0014
3888.00,0.0014
3887.00,0.0014
3886.00,0.0014
3885.00,0.0014
3884.00,0.0014
3883.00,0.0014
3882.00,0.0014
3881.00,0.0015
3880.00,0.0015
3879.00,0.0015
3878.00,0.0014
3877.00,0.0014
3876.00,0.0014
3875.00,0.0014
3874.00,0.0014
3873.00,0.0014
3872.00,0.0015
3871.00,0.0015
3870.00,0.0015
3869.00,0.0015
3868.00,0.0014
3867.00,0.0014
3866.00,0.0013
3865.00,0.0014
3864.00,0.0014
3863.00,0.0015
3862.00,0.0015
3861.00,0.0015
3860.00,0.0015
3859.00,0.0015
3858.00,0.0015
3857.00,0.0015
3856.00,0.0015
3855.00,0.0015
3854.00,0.0014
3853.00,0.0014
3852.00,0.0014
3851.00,0.0015
3850.00,0.0015
3849.00,0.0015
3848.00,0.0015
3847.00,0.0015
3846.00,0.0015
3845.00,0.0015
3844.00,0.0014
3843.00,0.0014
3842.00,0.0014
3841.00,0.0014
3840.00,0.0015
3839.00,0.0015
3838.00,0.0016
3837.00,0.0016
3836.00,0.0015
3835.00,0.0015
3834.00,0.0015
3833.00,0.0014
3832.00,0.0014
3831.00,0.0014
3830.00,0.0014
3829.00,0.0014
3828.00,0.0014
3827.00,0.0014
3826.00,0.0014
3825.00,0.0014
3824.00,0.0014
3823.00,0.0014
3822.00,0.0014
3821.00,0.0014
3820.00,0.0014
3819.00,0.0014
3818.00,0.0015
3817.00,0.0015
3816.00,0.0015
3815.00,0.0015
3814.00,0.0015
3813.00,0.0015
3812.00,0.0014
3811.00,0.0014
3810.00,0.0014
3809.00,0.0014
3808.00,0.0014
3807.00,0.0015
3806.00,0.0015
3805.00,0.0015
3804.00,0.0015
3803.00,0.0014
3802.00,0.0014
3801.00,0.0014
3800.00,0.0014
3799.00,0.0015
3798.00,0.0015
3797.00,0.0015
3796.00,0.0014
3795.00,0.0014
3794.00,0.0014
3793.00,0.0014
3792.00,0.0014
3791.00,0.0015
3790.00,0.0015
3789.00,0.0015
3788.00,0.0015
3787.00,0.0015
3786.00,0.0015
3785.00,0.0015
3784.00,0.0015
3783.00,0.0014
3782.00,0.0014
3781.00,0.0014
3780.00,0.0014
3779.00,0.0014
3778.00,0.0014
3777.00,0.0014
3776.00,0.0014
3775.00,0.0013
3774.00,0.0013
3773.00,0.0013
3772.00,0.0014
3771.00,0.0014
3770.00,0.0014
3769.00,0.0015
3768.00,0.0014
3767.00,0.0014
3766.00,0.0014
3765.00,0.0014
3764.00,0.0015
3763.00,0.0015
3762.00,0.0015
3761.00,0.0015
3760.00,0.0015
3759.00,0.0015
3758.00,0.0014
3757.00,0.0014
3756.00,0.0014
3755.00,0.0014
3754.00,0.0014
3753.00,0.0014
3752.00,0.0013
3751.00,0.0013
3750.00,0.0013
3749.00,0.0013
3748.00,0.0014
3747.00,0.0014
3746.00,0.0015
3745.00,0.0015
3744.00,0.0014
3743.00,0.0014
3742.00,0.0014
3741.00,0.0013
3740.00,0.0013
3739.00,0.0013
3738.00,0.0012
3737.00,0.0012
3736.00,0.0013
3735.00,0.0014
3734.00,0.0014
3733.00,0.0015
3732.00,0.0015
3731.00,0.0015
3730.00,0.0015
3729.00,0.0015
3728.00,0.0014
3727.00,0.0014
3726.00,0.0014
3725.00,0.0013
3724.00,0.0013
3723.00,0.0013
3722.00,0.0014
3721.00,0.0014
3720.00,0.0014
3719.00,0.0013
3718.00,0.0013
3717.00,0.0012
3716.00,0.0012
3715.00,0.0013
3714.00,0.0013
3713.00,0.0013
3712.00,0.0013
3711.00,0.0013
3710.00,0.0013
3709.00,0.0013
3708.00,0.0013
3707.00,0.0014
3706.00,0.0014
3705.00,0.0014
3704.00,0.0014
3703.00,0.0014
3702.00,0.0014
3701.00,0.0014
3700.00,0.0014
3699.00,0.0013
3698.00,0.0013
3697.00,0.0014
3696.00,0.0014
3695.00,0.0014
3694.00,0.0014
3693.00,0.0014
3692.00,0.0014
3691.00,0.0014
3690.00,0.0014
3689.00,0.0014
3688.00,0.0014
3687.00,0.0014
3686.00,0.0013
3685.00,0.0013
3684.00,0.0013
3683.00,0.0013
3682.00,0.0013
3681.00,0.0012
3680.00,0.0012
3679.00,0.0012
3678.00,0.0012
3677.00,0.0012
3676.00,0.0012
3675.00,0.0013
3674.00,0.0014
3673.00,0.0014
3672.00,0.0014
3671.00,0.0014
3670.00,0.0014
3669.00,0.0015
3668.00,0.0015
3667.00,0.0014
3666.00,0.0014
3665.00,0.0014
3664.00,0.0013
3663.00,0.0013
3662.00,0.0013
3661.00,0.0013
3660.00,0.0013
3659.00,0.0013
3658.00,0.0013
3657.00,0.0013
3656.00,0.0013
3655.00,0.0013
3654.00,0.0013
3653.00,0.0014
3652.00,0.0014
3651.00,0.0014
