Created as New Dataset,Sample 170 By Administrator Date Wednesday, September 03 2025
cm-1,A
4000.00,0.0021
3999.00,0.0022
3998.00,0.0022
3997.00,0.0022
3996.00,0.0023
3995.00,0.0022
3994.00,0.0022
3993.00,0.0022
3992.00,0.0022
3991.00,0.0022
3990.00,0.0021
3989.00,0.0021
3988.00,0.0021
3987.00,0.0021
3986.00,0.0021
3985.00,0.0021
3984.00,0.0021
3983.00,0.0021
3982.00,0.0021
3981.00,0.0021
3980.00,0.0021
3979.00,0.0021
3978.00,0.0021
3977.00,0.0020
3976.00,0.0020
3975.00,0.0020
3974.00,0.0020
3973.00,0.0020
3972.00,0.0020
3971.00,0.0021
3970.00,0.0020
3969.00,0.0020
3968.00,0.0020
3967.00,0.0020
3966.00,0.0020
3965.00,0.0020
3964.00,0.0020
3963.00,0.0020
3962.00,0.0020
3961.00,0.0020
3960.00,0.0020
3959.00,0.0021
3958.00,0.0021
3957.00,0.0021
3956.00,0.0021
3955.00,0.0020
3954.00,0.0020
3953.00,0.0020
3952.00,0.0020
3951.00,0.0020
3950.00,0.0020
3949.00,0.0020
3948.00,0.0020
3947.00,0.0020
3946.00,0.0020
3945.00,0.0020
3944.00,0.0020
3943.00,0.0020
3942.00,0.0020
3941.00,0.0020
3940.00,0.0020
3939.00,0.0020
3938.00,0.0020
3937.00,0.0021
3936.00,0.0021
3935.00,0.0022
3934.00,0.0022
3933.00,0.0022
3932.00,0.0022
3931.00,0.0021
3930.00,0.0021
3929.00,0.0021
3928.00,0.0021
3927.00,0.0021
3926.00,0.0021
3925.00,0.0021
3924.00,0.0021
3923.00,0.0021
3922.00,0.0021
3921.00,0.0021
3920.00,0.0021
3919.00,0.0021
3918.00,0.0021
3917.00,0.0020
3916.00,0.0020
3915.00,0.0020
3914.00,0.0020
3913.00,0.0020
3912.00,0.0020
3911.00,0.0020
3910.00,0.0020
3909.00,0.0020
3908.00,0.0020
3907.00,0.0020
3906.00,0.0021
3905.00,0.0021
3904.00,0.0022
3903.00,0.0022
3902.00,0.0021
3901.00,0.0020
3900.00,0.0020
3899.00,0.0020
3898.00,0.0020
3897.00,0.0020
3896.00,0.0021
3895.00,0.0021
3894.00,0.0021
3893.00,0.0021
3892.00,0.0021
3891.00,0.0021
3890.00,0.0021
3889.00,0.0020
3888.00,0.0020
3887.00,0.0020
3886.00,0.0020
3885.00,0.0021
3884.00,0.0021
3883.00,0.0021
3882.00,0.0021
3881.00,0.0021
3880.00,0.0020
3879.00,0.0020
3878.00,0.0021
3877.00,0.0021
3876.00,0.0021
3875.00,0.0021
3874.00,0.0022
3873.00,0.0022
3872.00,0.0022
3871.00,0.0022
3870.00,0.0021
3869.00,0.0021
3868.00,0.0021
3867.00,0.0021
3866.00,0.0021
3865.00,0.0021
3864.00,0.0021
3863.00,0.0021
3862.00,0.0020
3861.00,0.0020
3860.00,0.0020
3859.00,0.0020
3858.00,0.0020
3857.00,0.0021
3856.00,0.0021
3855.00,0.0022
3854.00,0.0023
3853.00,0.0022
3852.00,0.0022
3851.00,0.0021
3850.00,0.0020
3849.00,0.0020
3848.00,0.0019
3847.00,0.0020
3846.00,0.0020
3845.00,0.0020
3844.00,0.0021
3843.00,0.0021
3842.00,0.0022
3841.00,0.0022
3840.00,0.0022
3839.00,0.0022
3838.00,0.0021
3837.00,0.0021
3836.00,0.0021
3835.00,0.0021
3834.00,0.0021
3833.00,0.0021
3832.00,0.0021
3831.00,0.0021
3830.00,0.0021
3829.00,0.0021
3828.00,0.0021
3827.00,0.0021
3826.00,0.0021
3825.00,0.0022
3824.00,0.0022
3823.00,0.0022
3822.00,0.0022
3821.00,0.0022
3820.00,0.0022
3819.00,0.0022
3818.00,0.0022
3817.00,0.0021
3816.00,0.0021
3815.00,0.0021
3814.00,0.0021
3813.00,0.0021
3812.00,0.0021
3811.00,0.0021
3810.00,0.0021
3809.00,0.0021
3808.00,0.0021
3807.00,0.0021
3806.00,0.0021
3805.00,0.0021
3804.00,0.0022
3803.00,0.0022
3802.00,0.0022
3801.00,0.0022
3800.00,0.0022
3799.00,0.0022
3798.00,0.0021
3797.00,0.0021
3796.00,0.0021
3795.00,0.0021
3794.00,0.0020
3793.00,0.0020
3792.00,0.0020
3791.00,0.0020
3790.00,0.0020
3789.00,0.0020
3788.00,0.0020
3787.00,0.0020
3786.00,0.0021
3785.00,0.0021
3784.00,0.0020
3783.00,0.0020
3782.00,0.0020
3781.00,0.0020
3780.00,0.0020
3779.00,0.0020
3778.00,0.0021
3777.00,0.0021
3776.00,0.0021
3775.00,0.0021
3774.00,0.0021
3773.00,0.0021
3772.00,0.0021
3771.00,0.0021
3770.00,0.0021
3769.00,0.0021
3768.00,0.0021
3767.00,0.0021
3766.00,0.0021
3765.00,0.0021
3764.00,0.0022
3763.00,0.0022
3762.00,0.0022
3761.00,0.0022
3760.00,0.0022
3759.00,0.0022
3758.00,0.0022
3757.00,0.0022
3756.00,0.0022
3755.00,0.0023
3754.00,0.0023
3753.00,0.0023
3752.00,0.0023
3751.00,0.0023
3750.00,0.0023
3749.00,0.0023
3748.00,0.0023
3747.00,0.0022
3746.00,0.0022
3745.00,0.0022
3744.00,0.0022
3743.00,0.0022
3742.00,0.0022
3741.00,0.0022
3740.00,0.0022
3739.00,0.0022
3738.00,0.0022
3737.00,0.0022
3736.00,0.0022
3735.00,0.0021
3734.00,0.0021
3733.00,0.0021
3732.00,0.0020
3731.00,0.0020
3730.00,0.0020
3729.00,0.0020
3728.00,0.0019
3727.00,0.0019
3726.00,0.0019
3725.00,0.0020
3724.00,0.0020
3723.00,0.0019
3722.00,0.0019
3721.00,0.0019
3720.00,0.0019
3719.00,0.0020
3718.00,0.0020
3717.00,0.0020
3716.00,0.0020
3715.00,0.0020
3714.00,0.0020
3713.00,0.0019
3712.00,0.0019
3711.00,0.0018
3710.00,0.0018
3709.00,0.0018
3708.00,0.0018
3707.00,0.0018
3706.00,0.0019
3705.00,0.0019
3704.00,0.0019
3703.00,0.0018
3702.00,0.0018
3701.00,0.0018
3700.00,0.0018
3699.00,0.0018
3698.00,0.0018
3697.00,0.0019
3696.00,0.0019
3695.00,0.0019
3694.00,0.0019
3693.00,0.0019
3692.00,0.0018
3691.00,0.0018
3690.00,0.0019
3689.00,0.0019
3688.00,0.0019
3687.00,0.0019
3686.00,0.0019
3685.00,0.0019
3684.00,0.0019
3683.00,0.0019
3682.00,0.0020
3681.00,0.0021
3680.00,0.0022
3679.00,0.0024
3678.00,0.0025
3677.00,0.0026
3676.00,0.0026
3675.00,0.0025
3674.00,0.0024
3673.00,0.0023
3672.00,0.0022
3671.00,0.0021
3670.00,0.0020
3669.00,0.0019
3668.00,0.0019
3667.00,0.0019
3666.00,0.0018
3665.00,0.0018
3664.00,0.0017
3663.00,0.0017
3662.00,0.0018
3661.00,0.0018
3660.00,0.0019
3659.00,0.0019
3658.00,0.0019
3657.00,0.0019
3656.00,0.0018
3655.00,0.0018
3654.00,0.0018
3653.00,0.0018
3652.00,0.0018
3651.00,0.0019
3650.00,0.0019
3649.00,0.0019
3648.00,0.0020
3647.00,0.0020
3646.00,0.0020
3645.00,0.0020
3644.00,0.0019
3643.00,0.0019
3642.00,0.0019
