Created as New Dataset,Sample 020 By Administrator Date Thursday, September 04 2025
cm-1,A
4000.00,0.0007
3999.00,0.0007
3998.00,0.0008
3997.00,0.0008
3996.00,0.0008
3995.00,0.0008
3994.00,0.0008
3993.00,0.0008
3992.00,0.0008
3991.00,0.0008
3990.00,0.0008
3989.00,0.0007
3988.00,0.0007
3987.00,0.0007
3986.00,0.0007
3985.00,0.0007
3984.00,0.0007
3983.00,0.0007
3982.00,0.0007
3981.00,0.0007
3980.00,0.0007
3979.00,0.0008
3978.00,0.0008
3977.00,0.0008
3976.00,0.0008
3975.00,0.0008
3974.00,0.0007
3973.00,0.0007
3972.00,0.0007
3971.00,0.0006
3970.00,0.0006
3969.00,0.0006
3968.00,0.0006
3967.00,0.0006
3966.00,0.0006
3965.00,0.0006
3964.00,0.0006
3963.00,0.0006
3962.00,0.0006
3961.00,0.0007
3960.00,0.0007
3959.00,0.0007
3958.00,0.0007
3957.00,0.0007
3956.00,0.0007
3955.00,0.0007
3954.00,0.0007
3953.00,0.0007
3952.00,0.0007
3951.00,0.0007
3950.00,0.0007
3949.00,0.0007
3948.00,0.0007
3947.00,0.0007
3946.00,0.0007
3945.00,0.0007
3944.00,0.0007
3943.00,0.0007
3942.00,0.0007
3941.00,0.0007
3940.00,0.0007
3939.00,0.0007
3938.00,0.0007
3937.00,0.0007
3936.00,0.0007
3935.00,0.0006
3934.00,0.0006
3933.00,0.0006
3932.00,0.0006
3931.00,0.0006
3930.00,0.0006
3929.00,0.0006
3928.00,0.0007
3927.00,0.0007
3926.00,0.0007
3925.00,0.0008
3924.00,0.0007
3923.00,0.0007
3922.00,0.0007
3921.00,0.0007
3920.00,0.0006
3919.00,0.0006
3918.00,0.0006
3917.00,0.0005
3916.00,0.0005
3915.00,0.0005
3914.00,0.0005
3913.00,0.0006
3912.00,0.0006
3911.00,0.0006
3910.00,0.0006
3909.00,0.0006
3908.00,0.0006
3907.00,0.0006
3906.00,0.0006
3905.00,0.0005
3904.00,0.0005
3903.00,0.0005
3902.00,0.0005
3901.00,0.0005
3900.00,0.0006
3899.00,0.0006
3898.00,0.0006
3897.00,0.0006
3896.00,0.0006
3895.00,0.0006
3894.00,0.0006
3893.00,0.0006
3892.00,0.0006
3891.00,0.0006
3890.00,0.0006
3889.00,0.0005
3888.00,0.0005
3887.00,0.0005
3886.00,0.0005
3885.00,0.0004
3884.00,0.0004
3883.00,0.0004
3882.00,0.0004
3881.00,0.0005
3880.00,0.0005
3879.00,0.0005
3878.00,0.0006
3877.00,0.0006
3876.00,0.0007
3875.00,0.0007
3874.00,0.0006
3873.00,0.0005
3872.00,0.0005
3871.00,0.0004
3870.00,0.0004
3869.00,0.0004
3868.00,0.0004
3867.00,0.0004
3866.00,0.0004
3865.00,0.0004
3864.00,0.0004
3863.00,0.0004
3862.00,0.0004
3861.00,0.0005
3860.00,0.0005
3859.00,0.0005
3858.00,0.0006
3857.00,0.0006
3856.00,0.0006
3855.00,0.0005
3854.00,0.0005
3853.00,0.0004
3852.00,0.0004
3851.00,0.0004
3850.00,0.0004
3849.00,0.0004
3848.00,0.0004
3847.00,0.0004
3846.00,0.0004
3845.00,0.0004
3844.00,0.0005
3843.00,0.0005
3842.00,0.0005
3841.00,0.0005
3840.00,0.0004
3839.00,0.0004
3838.00,0.0004
3837.00,0.0004
3836.00,0.0004
3835.00,0.0004
3834.00,0.0004
3833.00,0.0004
3832.00,0.0004
3831.00,0.0004
3830.00,0.0004
3829.00,0.0004
3828.00,0.0004
3827.00,0.0005
3826.00,0.0005
3825.00,0.0005
3824.00,0.0005
3823.00,0.0005
3822.00,0.0005
3821.00,0.0005
3820.00,0.0005
3819.00,0.0004
3818.00,0.0004
3817.00,0.0004
3816.00,0.0004
3815.00,0.0005
3814.00,0.0005
3813.00,0.0005
3812.00,0.0005
3811.00,0.0005
3810.00,0.0005
3809.00,0.0006
3808.00,0.0006
3807.00,0.0006
3806.00,0.0005
3805.00,0.0005
3804.00,0.0005
3803.00,0.0004
3802.00,0.0004
3801.00,0.0004
3800.00,0.0004
3799.00,0.0004
3798.00,0.0004
3797.00,0.0005
3796.00,0.0005
3795.00,0.0005
3794.00,0.0005
3793.00,0.0005
3792.00,0.0006
3791.00,0.0006
3790.00,0.0006
3789.00,0.0005
3788.00,0.0005
3787.00,0.0005
3786.00,0.0006
3785.00,0.0006
3784.00,0.0006
3783.00,0.0006
3782.00,0.0006
3781.00,0.0006
3780.00,0.0005
3779.00,0.0005
3778.00,0.0005
3777.00,0.0005
3776.00,0.0005
3775.00,0.0005
3774.00,0.0005
3773.00,0.0005
3772.00,0.0005
3771.00,0.0005
3770.00,0.0005
3769.00,0.0005
3768.00,0.0005
3767.00,0.0005
3766.00,0.0005
3765.00,0.0005
3764.00,0.0005
3763.00,0.0005
3762.00,0.0005
3761.00,0.0006
3760.00,0.0006
3759.00,0.0005
3758.00,0.0005
3757.00,0.0005
3756.00,0.0005
3755.00,0.0005
3754.00,0.0005
3753.00,0.0005
3752.00,0.0005
3751.00,0.0004
3750.00,0.0004
3749.00,0.0004
3748.00,0.0004
3747.00,0.0003
3746.00,0.0003
3745.00,0.0003
3744.00,0.0003
3743.00,0.0003
3742.00,0.0003
3741.00,0.0004
3740.00,0.0004
3739.00,0.0003
3738.00,0.0003
3737.00,0.0002
3736.00,0.0002
3735.00,0.0002
3734.00,0.0002
3733.00,0.0002
3732.00,0.0002
3731.00,0.0003
3730.00,0.0003
3729.00,0.0003
3728.00,0.0004
3727.00,0.0004
3726.00,0.0004
3725.00,0.0004
3724.00,0.0005
3723.00,0.0005
3722.00,0.0005
3721.00,0.0005
3720.00,0.0005
3719.00,0.0005
3718.00,0.0005
3717.00,0.0005
3716.00,0.0005
3715.00,0.0004
3714.00,0.0004
3713.00,0.0004
3712.00,0.0003
3711.00,0.0003
3710.00,0.0003
3709.00,0.0003
3708.00,0.0003
3707.00,0.0003
3706.00,0.0003
3705.00,0.0004
3704.00,0.0004
3703.00,0.0004
3702.00,0.0005
3701.00,0.0005
3700.00,0.0005
3699.00,0.0005
3698.00,0.0005
3697.00,0.0005
3696.00,0.0005
3695.00,0.0005
3694.00,0.0005
3693.00,0.0005
3692.00,0.0005
3691.00,0.0005
3690.00,0.0005
3689.00,0.0005
3688.00,0.0005
3687.00,0.0004
3686.00,0.0004
3685.00,0.0004
3684.00,0.0005
3683.00,0.0005
3682.00,0.0005
3681.00,0.0005
3680.00,0.0005
3679.00,0.0005
3678.00,0.0004
3677.00,0.0004
3676.00,0.0004
3675.00,0.0004
3674.00,0.0004
3673.00,0.0004
3672.00,0.0004
3671.00,0.0003
3670.00,0.0003
3669.00,0.0003
3668.00,0.0004
3667.00,0.0005
3666.00,0.0005
3665.00,0.0005
3664.00,0.0006
3663.00,0.0006
3662.00,0.0006
3661.00,0.0005
3660.00,0.0005
3659.00,0.0005
3658.00,0.0005
3657.00,0.0005
3656.00,0.0006
3655.00,0.0006
3654.00,0.0006
3653.00,0.0006
3652.00,0.0005
3651.00,0.0005
3650.00,0.0006
3649.00,0.0006
3648.00,0.0006
3647.00,0.0006
3646.00,0.0006
3645.00,0.0006
3644.00,0.0006
3643.00,0.0007
3642.00,0.0007
3641.00,0.0007
3640.00,0.0007
3639.00,0.0007
3638.00,0.0007
3637.00,0.0007
3636.00,0.0006
3635.00,0.0006
3634.00,0.0006
3633.00,0.0006
3632.00,0.0006
3631.00,0.0006
3630.00,0.0006
3629.00,0.0007
3628.00,0.0007
3627.00,0.0007
3626.00,0.0007
3625.00,0.0007
3624.00,0.0007
3623.00,0.0008
3622.00,0.0008
3621.00,0.0008
3620.00,0.0008
3619.00,0.0008
3618.00,0.0008
3617.00,0.0008
3616.00,0.0008
3615.00,0.0008
3614.00,0.0008
3613.00,0.0008
3612.00,0.0008
3611.00,0.0008
3610.00,0.0009
3609.00,0.0010
3608.00,0.0010
3607.00,0.0011
3606.00,0.0011
3605.00,0.0011
3604.00,0.0010
3603.00,0.0010
3602.00,0.0010
3601.00,0.0011
3600.00,0.0011
3599.00,0.0011
3598.00,0.0010
3597.00,0.0010
3596.00,0.0011
3595.00,0.0011
3594.00,0.0012
3593.00,0.0012
3592.00,0.0012
3591.00,0.0012
3590.00,0.0012
3589.00,0.0013
3588.00,0.0013
3587.00,0.0014
3586.00,0.0014
3585.00,0.0014
3584.00,0.0014
3583.00,0.0014
3582.00,0.0015
3581.00,0.0015
3580.00,0.0015
3579.00,0.0015
3578.00,0.0015
3577.00,0.0015
3576.00,0.0015
3575.00,0.0015
3574.00,0.0016
3573.00,0.0016
3572.00,0.0017
3571.00,0.0017
3570.00,0.0017
3569.00,0.0018
3568.00,0.0018
3567.00,0.0019
3566.00,0.0019
3565.00,0.0019
3564.00,0.0019
3563.00,0.0019
3562.00,0.0019
3561.00,0.0020
3560.00,0.0020
3559.00,0.0020
3558.00,0.0020
3557.00,0.0021
3556.00,0.0021
3555.00,0.0022
3554.00,0.0022
3553.00,0.0022
3552.00,0.0023
3551.00,0.0023
3550.00,0.0023
3549.00,0.0023
3548.00,0.0023
3547.00,0.0022
3546.00,0.0022
3545.00,0.0022
3544.00,0.0023
3543.00,0.0024
3542.00,0.0024
3541.00,0.0025
3540.00,0.0025
3539.00,0.0025
3538.00,0.0025
3537.00,0.0026
3536.00,0.0026
3535.00,0.0027
3534.00,0.0027
3533.00,0.0027
3532.00,0.0027
3531.00,0.0027
3530.00,0.0027
3529.00,0.0027
3528.00,0.0028
3527.00,0.0028
3526.00,0.0029
3525.00,0.0029
3524.00,0.0029
3523.00,0.0030
3522.00,0.0030
3521.00,0.0030
3520.00,0.0030
3519.00,0.0030
3518.00,0.0031
3517.00,0.0031
3516.00,0.0032
3515.00,0.0032
3514.00,0.0033
3513.00,0.0034
3512.00,0.0034
3511.00,0.0035
3510.00,0.0035
3509.00,0.0035
3508.00,0.0035
3507.00,0.0036
3506.00,0.0036
3505.00,0.0036
3504.00,0.0036
3503.00,0.0036
3502.00,0.0037
3501.00,0.0037
3500.00,0.0037
3499.00,0.0038
3498.00,0.0038
3497.00,0.0038
3496.00,0.0038
3495.00,0.0039
3494.00,0.0040
3493.00,0.0040
3492.00,0.0041
3491.00,0.0041
3490.00,0.0041
3489.00,0.0041
3488.00,0.0042
3487.00,0.0042
3486.00,0.0042
3485.00,0.0043
3484.00,0.0043
3483.00,0.0043
3482.00,0.0044
3481.00,0.0043
3480.00,0.0043
3479.00,0.0043
3478.00,0.0043
3477.00,0.0043
3476.00,0.0044
3475.00,0.0044
3474.00,0.0045
3473.00,0.0045
3472.00,0.0045
3471.00,0.0045
3470.00,0.0045
3469.00,0.0045
3468.00,0.0046
3467.00,0.0047
3466.00,0.0048
3465.00,0.0048
3464.00,0.0048
3463.00,0.0048
3462.00,0.0048
3461.00,0.0049
3460.00,0.0049
3459.00,0.0049
3458.00,0.0049
3457.00,0.0050
3456.00,0.0050
3455.00,0.0050
3454.00,0.0050
3453.00,0.0051
3452.00,0.0051
3451.00,0.0051
3450.00,0.0051
3449.00,0.0052
3448.00,0.0052
3447.00,0.0052
3446.00,0.0053
3445.00,0.0053
3444.00,0.0053
3443.00,0.0054
3442.00,0.0054
3441.00,0.0054
3440.00,0.0054
3439.00,0.0054
3438.00,0.0055
3437.00,0.0055
3436.00,0.0055
3435.00,0.0056
3434.00,0.0056
3433.00,0.0056
3432.00,0.0057
3431.00,0.0057
3430.00,0.0057
3429.00,0.0058
3428.00,0.0058
3427.00,0.0058
3426.00,0.0059
3425.00,0.0059
3424.00,0.0059
3423.00,0.0059
3422.00,0.0059
3421.00,0.0059
3420.00,0.0058
3419.00,0.0058
3418.00,0.0058
3417.00,0.0058
3416.00,0.0059
3415.00,0.0059
3414.00,0.0060
3413.00,0.0061
3412.00,0.0061
3411.00,0.0061
3410.00,0.0061
3409.00,0.0061
3408.00,0.0061
3407.00,0.0061
3406.00,0.0061
3405.00,0.0062
3404.00,0.0062
3403.00,0.0062
3402.00,0.0062
3401.00,0.0061
3400.00,0.0062
3399.00,0.0062
3398.00,0.0062
3397.00,0.0062
3396.00,0.0062
3395.00,0.0062
3394.00,0.0062
3393.00,0.0062
3392.00,0.0062
3391.00,0.0063
3390.00,0.0063
3389.00,0.0062
3388.00,0.0062
3387.00,0.0062
3386.00,0.0062
3385.00,0.0063
3384.00,0.0063
3383.00,0.0063
3382.00,0.0064
3381.00,0.0064
3380.00,0.0064
3379.00,0.0064
3378.00,0.0064
3377.00,0.0064
3376.00,0.0064
3375.00,0.0064
3374.00,0.0064
3373.00,0.0064
3372.00,0.0064
3371.00,0.0064
3370.00,0.0064
3369.00,0.0064
3368.00,0.0064
3367.00,0.0065
3366.00,0.0065
3365.00,0.0065
3364.00,0.0066
3363.00,0.0066
3362.00,0.0066
3361.00,0.0065
3360.00,0.0065
3359.00,0.0065
3358.00,0.0066
3357.00,0.0066
3356.00,0.0066
3355.00,0.0066
3354.00,0.0066
3353.00,0.0066
3352.00,0.0066
3351.00,0.0066
3350.00,0.0066
3349.00,0.0065
3348.00,0.0065
3347.00,0.0065
3346.00,0.0065
3345.00,0.0065
3344.00,0.0065
3343.00,0.0066
3342.00,0.0066
3341.00,0.0065
3340.00,0.0065
3339.00,0.0065
3338.00,0.0066
3337.00,0.0066
3336.00,0.0066
3335.00,0.0065
3334.00,0.0065
3333.00,0.0064
3332.00,0.0064
3331.00,0.0064
3330.00,0.0064
3329.00,0.0064
3328.00,0.0064
3327.00,0.0064
3326.00,0.0064
3325.00,0.0064
3324.00,0.0064
3323.00,0.0064
3322.00,0.0063
3321.00,0.0063
3320.00,0.0063
3319.00,0.0063
3318.00,0.0063
3317.00,0.0063
3316.00,0.0063
3315.00,0.0064
3314.00,0.0064
3313.00,0.0064
3312.00,0.0063
3311.00,0.0063
3310.00,0.0063
3309.00,0.0063
3308.00,0.0063
3307.00,0.0063
3306.00,0.0063
3305.00,0.0063
3304.00,0.0063
3303.00,0.0064
3302.00,0.0064
3301.00,0.0064
3300.00,0.0064
3299.00,0.0063
3298.00,0.0062
3297.00,0.0062
3296.00,0.0061
3295.00,0.0061
3294.00,0.0061
3293.00,0.0061
3292.00,0.0060
3291.00,0.0060
3290.00,0.0060
3289.00,0.0060
3288.00,0.0060
3287.00,0.0060
3286.00,0.0060
3285.00,0.0059
3284.00,0.0059
3283.00,0.0058
3282.00,0.0058
3281.00,0.0058
3280.00,0.0058
3279.00,0.0058
3278.00,0.0058
3277.00,0.0058
3276.00,0.0058
3275.00,0.0058
3274.00,0.0058
3273.00,0.0058
3272.00,0.0058
3271.00,0.0058
3270.00,0.0058
3269.00,0.0057
3268.00,0.0056
3267.00,0.0056
3266.00,0.0055
3265.00,0.0055
3264.00,0.0056
3263.00,0.0056
3262.00,0.0056
3261.00,0.0056
3260.00,0.0055
3259.00,0.0054
3258.00,0.0053
3257.00,0.0053
3256.00,0.0053
3255.00,0.0053
3254.00,0.0053
