Created as New Dataset,Sample 165 By Administrator Date Tuesday, September 09 2025
cm-1,A
4000.00,0.0011
3999.00,0.0011
3998.00,0.0011
3997.00,0.0010
3996.00,0.0010
3995.00,0.0010
3994.00,0.0010
3993.00,0.0010
3992.00,0.0010
3991.00,0.0010
3990.00,0.0010
3989.00,0.0010
3988.00,0.0010
3987.00,0.0010
3986.00,0.0010
3985.00,0.0010
3984.00,0.0010
3983.00,0.0010
3982.00,0.0010
3981.00,0.0009
3980.00,0.0009
3979.00,0.0009
3978.00,0.0009
3977.00,0.0009
3976.00,0.0009
3975.00,0.0009
3974.00,0.0009
3973.00,0.0009
3972.00,0.0009
3971.00,0.0008
3970.00,0.0008
3969.00,0.0008
3968.00,0.0008
3967.00,0.0008
3966.00,0.0007
3965.00,0.0007
3964.00,0.0007
3963.00,0.0008
3962.00,0.0008
3961.00,0.0008
3960.00,0.0008
3959.00,0.0008
3958.00,0.0009
3957.00,0.0009
3956.00,0.0009
3955.00,0.0009
3954.00,0.0008
3953.00,0.0008
3952.00,0.0008
3951.00,0.0008
3950.00,0.0007
3949.00,0.0007
3948.00,0.0007
3947.00,0.0007
3946.00,0.0007
3945.00,0.0007
3944.00,0.0007
3943.00,0.0008
3942.00,0.0008
3941.00,0.0008
3940.00,0.0008
3939.00,0.0008
3938.00,0.0008
3937.00,0.0008
3936.00,0.0008
3935.00,0.0008
3934.00,0.0008
3933.00,0.0008
3932.00,0.0008
3931.00,0.0008
3930.00,0.0008
3929.00,0.0008
3928.00,0.0008
3927.00,0.0009
3926.00,0.0009
3925.00,0.0009
3924.00,0.0009
3923.00,0.0009
3922.00,0.0009
3921.00,0.0009
3920.00,0.0009
3919.00,0.0008
3918.00,0.0008
3917.00,0.0008
3916.00,0.0008
3915.00,0.0008
3914.00,0.0008
3913.00,0.0008
3912.00,0.0009
3911.00,0.0009
3910.00,0.0008
3909.00,0.0008
3908.00,0.0008
3907.00,0.0008
3906.00,0.0008
3905.00,0.0008
3904.00,0.0009
3903.00,0.0009
3902.00,0.0008
3901.00,0.0008
3900.00,0.0008
3899.00,0.0008
3898.00,0.0008
3897.00,0.0008
3896.00,0.0008
3895.00,0.0008
3894.00,0.0008
3893.00,0.0008
3892.00,0.0008
3891.00,0.0008
3890.00,0.0008
3889.00,0.0008
3888.00,0.0008
3887.00,0.0008
3886.00,0.0007
3885.00,0.0007
3884.00,0.0007
3883.00,0.0008
3882.00,0.0008
3881.00,0.0008
3880.00,0.0008
3879.00,0.0008
3878.00,0.0007
3877.00,0.0007
3876.00,0.0007
3875.00,0.0007
3874.00,0.0007
3873.00,0.0007
3872.00,0.0007
3871.00,0.0007
3870.00,0.0007
3869.00,0.0007
3868.00,0.0007
3867.00,0.0007
3866.00,0.0007
3865.00,0.0007
3864.00,0.0007
3863.00,0.0007
3862.00,0.0007
3861.00,0.0007
3860.00,0.0007
3859.00,0.0007
3858.00,0.0006
3857.00,0.0006
3856.00,0.0006
3855.00,0.0006
3854.00,0.0006
3853.00,0.0006
3852.00,0.0005
3851.00,0.0005
3850.00,0.0005
