Created as New Dataset,Sample 050 By Administrator Date Friday, September 05 2025
cm-1,A
4000.00,0.0013
3999.00,0.0013
3998.00,0.0013
3997.00,0.0013
3996.00,0.0013
3995.00,0.0013
3994.00,0.0013
3993.00,0.0014
3992.00,0.0014
3991.00,0.0014
3990.00,0.0014
3989.00,0.0014
3988.00,0.0014
3987.00,0.0014
3986.00,0.0014
3985.00,0.0014
3984.00,0.0013
3983.00,0.0013
3982.00,0.0012
3981.00,0.0012
3980.00,0.0012
3979.00,0.0012
3978.00,0.0012
3977.00,0.0012
3976.00,0.0012
3975.00,0.0012
3974.00,0.0012
3973.00,0.0012
3972.00,0.0012
3971.00,0.0013
3970.00,0.0013
3969.00,0.0012
3968.00,0.0012
3967.00,0.0012
3966.00,0.0012
3965.00,0.0012
3964.00,0.0012
3963.00,0.0012
3962.00,0.0012
3961.00,0.0012
3960.00,0.0012
3959.00,0.0012
3958.00,0.0012
3957.00,0.0012
3956.00,0.0012
3955.00,0.0012
3954.00,0.0012
3953.00,0.0012
3952.00,0.0012
3951.00,0.0012
3950.00,0.0012
3949.00,0.0012
3948.00,0.0012
3947.00,0.0012
3946.00,0.0012
3945.00,0.0012
3944.00,0.0012
3943.00,0.0012
3942.00,0.0011
3941.00,0.0011
3940.00,0.0011
3939.00,0.0012
3938.00,0.0012
3937.00,0.0012
3936.00,0.0013
3935.00,0.0013
3934.00,0.0013
3933.00,0.0013
3932.00,0.0013
3931.00,0.0012
3930.00,0.0012
3929.00,0.0011
3928.00,0.0011
3927.00,0.0011
3926.00,0.0011
3925.00,0.0011
3924.00,0.0012
3923.00,0.0012
3922.00,0.0012
3921.00,0.0012
3920.00,0.0013
3919.00,0.0013
3918.00,0.0013
3917.00,0.0013
3916.00,0.0013
3915.00,0.0012
3914.00,0.0012
3913.00,0.0012
3912.00,0.0012
3911.00,0.0012
3910.00,0.0012
3909.00,0.0012
3908.00,0.0012
3907.00,0.0012
3906.00,0.0012
3905.00,0.0012
3904.00,0.0012
3903.00,0.0012
3902.00,0.0012
3901.00,0.0012
3900.00,0.0012
3899.00,0.0012
3898.00,0.0012
3897.00,0.0012
3896.00,0.0012
3895.00,0.0012
3894.00,0.0012
3893.00,0.0012
3892.00,0.0011
3891.00,0.0011
3890.00,0.0011
3889.00,0.0011
3888.00,0.0012
3887.00,0.0012
3886.00,0.0012
3885.00,0.0012
3884.00,0.0012
3883.00,0.0012
3882.00,0.0012
3881.00,0.0012
3880.00,0.0011
3879.00,0.0011
3878.00,0.0011
3877.00,0.0011
3876.00,0.0011
3875.00,0.0011
3874.00,0.0011
3873.00,0.0011
3872.00,0.0011
3871.00,0.0012
3870.00,0.0012
3869.00,0.0011
3868.00,0.0011
3867.00,0.0011
3866.00,0.0012
3865.00,0.0012
3864.00,0.0012
3863.00,0.0011
